OID,Name,Type,Description,Expression Context,Expression Code,Document,Pages
MT.SEENDTC,Algorithm to derive SEENDTC,Computation,"If Element = SCREEN, derived from SVENDTC where VISIT = SCREENING. If Element = EOS, derived from DS where DSCAT = DISPOSITION EVENT or from the latest EXENDTC from EX whichever is later. For treatment Elements, derived from last EXENDTC for the element. For the complete algorithm see the referenced external document.",,,LF.ComplexAlgorithms,SE
MT.SEQ,Algorithm to derive SEQ,Computation,Sequential number identifying records within each USUBJID in the domain.,,,,
MT.SESTDTC,Algorithm to derive SESTDTC,Computation,"If Element = SCREEN, derived from SVSTDTC where VISIT = SCREENING or from DS where DSDECOD = 'INFORMED CONSENT', whichever is earliest. If Element = EOS, derived from DS where DSCAT = DISPOSITION EVENT. For treatment Elements, derived from first EXSTDTC for the element. For the complete algorithm see the referenced external document.",,,LF.ComplexAlgorithms,SE
MT.SV.VISIT,Algorithm to derive SV.VISIT,Computation,Derived from visit-based subject-level domains,,,,
MT.SV.VISITNUM,Algorithm to derive VISITNUM,Computation,Derived from visit-based subject-level domains,,,,
MT.SVENDTC,Algorithm to derive SVENDTC,Computation,SVENDTC = SVSTDTC,,,,
MT.SVSTDTC,Algorithm to derive SVSTDTC,Computation,Derived from visit-based subject-level domains,,,,
MT.SVSTDY,Algorithm to derive SVSTDY,Computation,SVSTDY = SVSTDTC-RFSTDTC+1 if SVSTDTC is on or after RFSTDTC. SVSTDTC - RFSTDTC if SVSTDTC precedes RFSTDTC.,,,,
MT.TSSEQ,Algorithm to derive TSSEQ,Computation,Sequential number identifying records within each TSPARM in the domain.,,,,
MT.USUBJID,Algorithm to derive USUBJID,Computation,Concatenation of STUDYID and SUBJID,"SAS 9.0 or later, as part of a data step assignment or proc sql select and update statements."," catx(""."",STUDYID,SUBJID) ",,
MT.VSBLFL,Algorithm to derive VSBLFL,Computation,"Safety subjects only: VSBLFL = ""Y"" for last record with non Null VSORRES on or before the first dose date (RFSTDTC). Null otherwise.",,,,
MT.VSDY,Algorithm to derive VSDY,Computation,VSDY = VSDTC-RFSTDTC+1 if VSDTC is on or after RFSTDTC. VSDTC - RFSTDTC if VSDTC precedes RFSTDTC.,,,,
MT.VSSTRESC,Algorithm to derive VSSTRESC,Computation,"Data collected in non-standard units (i.e. lbs, inches) is converted using standard conversion factors to standard units (kg, cm).",,,,
MT.VSSTRESN,Algorithm to derive VSSTRESN,Computation,"VSSTRESN = numeric value of VSSTRESC, when VSSTRESC contains numeric data.",,,,
