OID,Dataset,Variable,Comparator,Value,Comment
WC.LB.LBTESTCD.GLUC.LBCAT.URINALYSIS.LBSPEC.URINE.LBMETHOD.QUANT,LB,LBMETHOD,EQ,QUANT,
WC.LB.LBTESTCD.HCT.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,HCT,
WC.LB.LBTESTCD.HCT.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBCAT,EQ,HEMATOLOGY,
WC.LB.LBTESTCD.HCT.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.LB.LBTESTCD.HGB.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,HGB,
WC.LB.LBTESTCD.HGB.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBCAT,EQ,HEMATOLOGY,
WC.LB.LBTESTCD.HGB.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.LB.LBTESTCD.LYM.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,LYM,
WC.LB.LBTESTCD.LYM.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBCAT,EQ,HEMATOLOGY,
WC.LB.LBTESTCD.LYM.LBCAT.HEMATOLOGY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.LB.LBTESTCD.OCCBLD.LBCAT.URINALYSIS.LBSPEC.URINE,LB,LBTESTCD,EQ,OCCBLD,
WC.LB.LBTESTCD.OCCBLD.LBCAT.URINALYSIS.LBSPEC.URINE,LB,LBCAT,EQ,URINALYSIS,
WC.LB.LBTESTCD.OCCBLD.LBCAT.URINALYSIS.LBSPEC.URINE,LB,LBSPEC,EQ,URINE,
WC.LB.LBTESTCD.PH.LBCAT.URINALYSIS.LBSPEC.URINE,LB,LBTESTCD,EQ,PH,
WC.LB.LBTESTCD.PH.LBCAT.URINALYSIS.LBSPEC.URINE,LB,LBCAT,EQ,URINALYSIS,
WC.LB.LBTESTCD.PH.LBCAT.URINALYSIS.LBSPEC.URINE,LB,LBSPEC,EQ,URINE,
WC.LB.LBTESTCD.VITB12.LBCAT.CHEMISTRY.LBSPEC.SERUM,LB,LBTESTCD,EQ,VITB12,
WC.LB.LBTESTCD.VITB12.LBCAT.CHEMISTRY.LBSPEC.SERUM,LB,LBCAT,EQ,CHEMISTRY,
WC.LB.LBTESTCD.VITB12.LBCAT.CHEMISTRY.LBSPEC.SERUM,LB,LBSPEC,EQ,SERUM,
WC.LB.LBTESTCD.VITB9.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBTESTCD,EQ,VITB9,
WC.LB.LBTESTCD.VITB9.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBCAT,EQ,CHEMISTRY,
WC.LB.LBTESTCD.VITB9.LBCAT.CHEMISTRY.LBSPEC.BLOOD,LB,LBSPEC,EQ,BLOOD,
WC.PE.PETESTCD.PE01,PE,PETESTCD,EQ,PE01,
WC.PE.PETESTCD.PE02,PE,PETESTCD,EQ,PE02,
WC.PE.PETESTCD.PE03,PE,PETESTCD,EQ,PE03,
WC.PE.PETESTCD.PE04,PE,PETESTCD,EQ,PE04,
WC.PE.PETESTCD.PE05,PE,PETESTCD,EQ,PE05,
WC.PE.PETESTCD.PE06,PE,PETESTCD,EQ,PE06,
WC.PE.PETESTCD.PE07,PE,PETESTCD,EQ,PE07,
WC.PE.PETESTCD.PE08,PE,PETESTCD,EQ,PE08,
WC.PE.PETESTCD.PE09,PE,PETESTCD,EQ,PE09,
WC.QS.QSTESTCD.CGIGLOB,QS,QSTESTCD,EQ,CGIGLOB,
WC.QS.QSTESTCD.CSDD01,QS,QSTESTCD,EQ,CSDD01,
WC.QS.QSTESTCD.CSDD02,QS,QSTESTCD,EQ,CSDD02,
WC.QS.QSTESTCD.CSDD03,QS,QSTESTCD,EQ,CSDD03,
WC.QS.QSTESTCD.CSDD04,QS,QSTESTCD,EQ,CSDD04,
WC.QS.QSTESTCD.CSDD05,QS,QSTESTCD,EQ,CSDD05,
WC.QS.QSTESTCD.CSDD06,QS,QSTESTCD,EQ,CSDD06,
WC.QS.QSTESTCD.CSDD07,QS,QSTESTCD,EQ,CSDD07,
WC.QS.QSTESTCD.CSDD08,QS,QSTESTCD,EQ,CSDD08,
WC.QS.QSTESTCD.CSDD09,QS,QSTESTCD,EQ,CSDD09,
WC.QS.QSTESTCD.CSDD10,QS,QSTESTCD,EQ,CSDD10,
WC.QS.QSTESTCD.CSDD11,QS,QSTESTCD,EQ,CSDD11,
WC.QS.QSTESTCD.CSDD12,QS,QSTESTCD,EQ,CSDD12,
WC.QS.QSTESTCD.CSDD13,QS,QSTESTCD,EQ,CSDD13,
WC.QS.QSTESTCD.CSDD14,QS,QSTESTCD,EQ,CSDD14,
WC.QS.QSTESTCD.CSDD15,QS,QSTESTCD,EQ,CSDD15,
WC.QS.QSTESTCD.CSDD16,QS,QSTESTCD,EQ,CSDD16,
WC.QS.QSTESTCD.CSDD17,QS,QSTESTCD,EQ,CSDD17,
WC.QS.QSTESTCD.CSDD18,QS,QSTESTCD,EQ,CSDD18,
WC.QS.QSTESTCD.CSDD19,QS,QSTESTCD,EQ,CSDD19,
WC.QS.QSTESTCD.CSDDTOT,QS,QSTESTCD,EQ,CSDDTOT,
WC.QS.QSTESTCD.MMSEA1,QS,QSTESTCD,EQ,MMSEA1,
WC.QS.QSTESTCD.MMSEA2,QS,QSTESTCD,EQ,MMSEA2,
WC.QS.QSTESTCD.MMSEB,QS,QSTESTCD,EQ,MMSEB,
WC.QS.QSTESTCD.MMSEC,QS,QSTESTCD,EQ,MMSEC,
WC.QS.QSTESTCD.MMSED,QS,QSTESTCD,EQ,MMSED,
WC.QS.QSTESTCD.MMSEET,QS,QSTESTCD,EQ,MMSEET,
WC.QS.QSTESTCD.MMSETOT,QS,QSTESTCD,EQ,MMSETOT,
WC.SC.SCTESTCD.EDLEVEL,SC,SCTESTCD,EQ,EDLEVEL,
WC.SC.SCTESTCD.MARISTAT,SC,SCTESTCD,EQ,MARISTAT,
WC.SC.SCTESTCD.SUBJINIT,SC,SCTESTCD,EQ,SUBJINIT,
WC.SUPPAE.QNAM.AETRTEM,SUPPAE,QNAM,EQ,AETRTEM,
WC.SUPPAE.QNAM.HLGT,SUPPAE,QNAM,EQ,HLGT,
WC.SUPPAE.QNAM.HLT,SUPPAE,QNAM,EQ,HLT,
WC.SUPPAE.QNAM.LLT,SUPPAE,QNAM,EQ,LLT,
WC.SUPPCM.QNAM.ATC4CODE,SUPPCM,QNAM,EQ,ATC4CODE,
WC.SUPPCM.QNAM.ATC4TERM,SUPPCM,QNAM,EQ,ATC4TERM,
WC.SUPPCM.QNAM.CPREFCD,SUPPCM,QNAM,EQ,CPREFCD,
WC.SUPPCM.QNAM.PDDREAS,SUPPCM,QNAM,EQ,PDDREAS,
WC.SUPPCM.QNAM.PDRESP,SUPPCM,QNAM,EQ,PDRESP,
WC.SUPPDM.QNAM.RACE1,SUPPDM,QNAM,EQ,RACE1,
WC.SUPPDM.QNAM.RACE2,SUPPDM,QNAM,EQ,RACE2,
WC.SUPPDM.QNAM.RACE3,SUPPDM,QNAM,EQ,RACE3,
WC.SUPPDM.QNAM.RACEOTH,SUPPDM,QNAM,EQ,RACEOTH,
WC.SUPPDM.QNAM.RAND,SUPPDM,QNAM,EQ,RAND,
WC.SUPPDM.QNAM.RANDNO,SUPPDM,QNAM,EQ,RANDNO,
WC.SUPPDM.QNAM.SAFETY,SUPPDM,QNAM,EQ,SAFETY,
WC.SUPPEG.QNAM.EGCLSIG,SUPPEG,QNAM,EQ,EGCLSIG,
WC.SUPPEX.QNAM.SMNO,SUPPEX,QNAM,EQ,SMNO,
WC.SUPPLB.QNAM.LBCLSIG,SUPPLB,QNAM,EQ,LBCLSIG,
WC.SUPPQS.QNAM.RTRINIT,SUPPQS,QNAM,EQ,RTRINIT,
WC.SUPPVS.QNAM.VSCLSIG,SUPPVS,QNAM,EQ,VSCLSIG,
WC.TS.TSPARMCD.ADDON,TS,TSPARMCD,EQ,ADDON,
WC.TS.TSPARMCD.AGEMAX,TS,TSPARMCD,EQ,AGEMAX,
WC.TS.TSPARMCD.AGEMIN,TS,TSPARMCD,EQ,AGEMIN,
WC.TS.TSPARMCD.AGESPAN,TS,TSPARMCD,EQ,AGESPAN,
WC.TS.TSPARMCD.AGEU,TS,TSPARMCD,EQ,AGEU,
WC.TS.TSPARMCD.DOSE,TS,TSPARMCD,EQ,DOSE,
WC.TS.TSPARMCD.DOSFRQ,TS,TSPARMCD,EQ,DOSFRQ,
WC.TS.TSPARMCD.DOSU,TS,TSPARMCD,EQ,DOSU,
WC.TS.TSPARMCD.LENGTH,TS,TSPARMCD,EQ,LENGTH,
WC.TS.TSPARMCD.OBJPRIM,TS,TSPARMCD,EQ,OBJPRIM,
WC.TS.TSPARMCD.OBJSEC,TS,TSPARMCD,EQ,OBJSEC,
WC.TS.TSPARMCD.PLANSUB,TS,TSPARMCD,EQ,PLANSUB,
WC.TS.TSPARMCD.RANDOM,TS,TSPARMCD,EQ,RANDOM,
WC.TS.TSPARMCD.ROUTE,TS,TSPARMCD,EQ,ROUTE,
WC.TS.TSPARMCD.SEXPOP,TS,TSPARMCD,EQ,SEXPOP,
WC.TS.TSPARMCD.SPONSOR,TS,TSPARMCD,EQ,SPONSOR,
WC.TS.TSPARMCD.TBLIND,TS,TSPARMCD,EQ,TBLIND,
WC.TS.TSPARMCD.TCNTRL,TS,TSPARMCD,EQ,TCNTRL,
WC.TS.TSPARMCD.TINDTP,TS,TSPARMCD,EQ,TINDTP,
WC.TS.TSPARMCD.TITLE,TS,TSPARMCD,EQ,TITLE,
WC.TS.TSPARMCD.TPHASE,TS,TSPARMCD,EQ,TPHASE,
WC.TS.TSPARMCD.TRT,TS,TSPARMCD,EQ,TRT,
WC.TS.TSPARMCD.TTYPE,TS,TSPARMCD,EQ,TTYPE,
WC.VS.VSTESTCD.DIABP,VS,VSTESTCD,EQ,DIABP,
WC.VS.VSTESTCD.FRMSIZE,VS,VSTESTCD,EQ,FRMSIZE,
WC.VS.VSTESTCD.HEIGHT,VS,VSTESTCD,EQ,HEIGHT,
WC.VS.VSTESTCD.PULSE,VS,VSTESTCD,EQ,PULSE,
WC.VS.VSTESTCD.SYSBP,VS,VSTESTCD,EQ,SYSBP,
WC.VS.VSTESTCD.WEIGHT,VS,VSTESTCD,EQ,WEIGHT,
WC.VS.VSTESTCD.HEIGHT.[DM].COUNTRY.CMETRIC,VS,VSTESTCD,EQ,HEIGHT,COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.HEIGHT.[DM].COUNTRY.CMETRIC,VS,COUNTRY,IN,"CAN,MEX",COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.HEIGHT.[DM].COUNTRY.CNMETRIC,VS,VSTESTCD,EQ,HEIGHT,COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.HEIGHT.[DM].COUNTRY.CNMETRIC,VS,COUNTRY,EQ,USA,COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.WEIGHT.[DM].COUNTRY.CMETRIC,VS,VSTESTCD,EQ,WEIGHT,COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.WEIGHT.[DM].COUNTRY.CMETRIC,VS,COUNTRY,IN,"CAN,MEX",COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.WEIGHT.[DM].COUNTRY.CNMETRIC,VS,VSTESTCD,EQ,WEIGHT,COM.SUBJECTDATA-JOIN-DM
WC.VS.VSTESTCD.WEIGHT.[DM].COUNTRY.CNMETRIC,VS,COUNTRY,EQ,USA,COM.SUBJECTDATA-JOIN-DM
