OID,Name,NCI Codelist Code,Data Type,Rank,Order,Term,NCI Term Code,Decoded Value,Comment,IsNonStandard,StandardOID
CL.ADCIBC.AVISITN,Analysis Visit (N) (ADCIBC),,integer,,,8,,Week 8,,Yes,
CL.ADCIBC.AVISITN,Analysis Visit (N) (ADCIBC),,integer,,,16,,Week 16,,Yes,
CL.ADCIBC.AVISITN,Analysis Visit (N) (ADCIBC),,integer,,,24,,Week 24,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,4,WEEK 2,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,5,WEEK 4,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,6,AMBUL ECG REMOVAL,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,7,WEEK 6,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,8,WEEK 8,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,9,WEEK 12,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,10,WEEK 16,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,11,WEEK 20,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,12,WEEK 24,,,,Yes,
CL.ADCIBC.VISIT,Visit (ADCIBC),,text,,201,RETRIEVAL,,,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,4,,WEEK 2,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,5,,WEEK 4,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,6,,AMBUL ECG REMOVAL,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,7,,WEEK 6,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,8,,WEEK 8,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,9,,WEEK 12,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,10,,WEEK 16,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,11,,WEEK 20,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,12,,WEEK 24,,Yes,
CL.ADCIBC.VISITNUM,Visit (N) (ADCIBC),,integer,,,201,,RETRIEVAL,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,,Baseline,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,2,Week 2,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,4,Week 4,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,6,Week 6,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,8,Week 8,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,12,Week 12,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,16,Week 16,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,20,Week 20,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,24,Week 24,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,26,Week 26,,,,Yes,
CL.ADLBC.AVISIT,Analysis Visit (ADLBC),,text,,99,End of Treatment,,,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,0,,Baseline,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,2,,Week 2,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,4,,Week 4,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,6,,Week 6,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,8,,Week 8,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,12,,Week 12,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,16,,Week 16,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,20,,Week 20,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,24,,Week 24,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,26,,Week 26,,Yes,
CL.ADLBC.AVISITN,Analysis Visit (N) (ADLBC),,integer,,,99,,End of Treatment,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,1,SCREENING 1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,2,UNSCHEDULED 1.1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,3,UNSCHEDULED 1.2,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,4,UNSCHEDULED 1.3,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,5,WEEK 2,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,6,UNSCHEDULED 4.1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,7,UNSCHEDULED 4.2,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,8,WEEK 4,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,9,UNSCHEDULED 5.1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,10,UNSCHEDULED 6.1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,11,WEEK 6,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,12,UNSCHEDULED 7.1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,13,WEEK 8,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,14,UNSCHEDULED 8.2,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,15,WEEK 12,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,16,UNSCHEDULED 9.2,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,17,WEEK 16,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,18,WEEK 20,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,19,WEEK 24,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,20,UNSCHEDULED 12.1,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,21,WEEK 26,,,,Yes,
CL.ADLBC.VISIT,Visit (ADLBC),,text,,22,UNSCHEDULED 13.1,,,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,1,,SCREENING 1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,1.1,,UNSCHEDULED 1.1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,1.2,,UNSCHEDULED 1.2,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,1.3,,UNSCHEDULED 1.3,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,4,,WEEK 2,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,4.1,,UNSCHEDULED 4.1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,4.2,,UNSCHEDULED 4.2,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,5,,WEEK 4,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,5.1,,UNSCHEDULED 5.1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,6.1,,UNSCHEDULED 6.1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,7,,WEEK 6,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,7.1,,UNSCHEDULED 7.1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,8,,WEEK 8,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,8.2,,UNSCHEDULED 8.2,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,9,,WEEK 12,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,9.2,,UNSCHEDULED 9.2,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,10,,WEEK 16,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,11,,WEEK 20,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,12,,WEEK 24,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,12.1,,UNSCHEDULED 12.1,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,13,,WEEK 26,,Yes,
CL.ADLBC.VISITNUM,Visit (N) (ADLBC),,float,,,13.1,,UNSCHEDULED 13.1,,Yes,
CL.ADLBCAT,Laboratory Cateogry,,text,,1,CHEM,,Chemistry,,Yes,
CL.ADLBCAT,Laboratory Cateogry,,text,,2,HEM,,Hematology,,Yes,
CL.ADLBCAT,Laboratory Cateogry,,text,,3,HYLAW,,Hy's Law,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,,Baseline,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,2,Week 2,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,4,Week 4,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,6,Week 6,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,8,Week 8,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,12,Week 12,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,16,Week 16,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,20,Week 20,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,24,Week 24,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,26,Week 26,,,,Yes,
CL.ADLBCPV.AVISIT,Analysis Visit (ADLBCPV),,text,,99,End of Treatment,,,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,0,,Baseline,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,2,,Week 2,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,4,,Week 4,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,6,,Week 6,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,8,,Week 8,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,12,,Week 12,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,16,,Week 16,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,20,,Week 20,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,24,,Week 24,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,26,,Week 26,,Yes,
CL.ADLBCPV.AVISITN,Analysis Visit (N) (ADLBCPV),,integer,,,99,,End of Treatment,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,1,SCREENING 1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,2,UNSCHEDULED 1.1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,3,UNSCHEDULED 1.2,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,4,UNSCHEDULED 1.3,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,5,WEEK 2,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,6,UNSCHEDULED 4.1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,7,UNSCHEDULED 4.2,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,8,WEEK 4,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,9,UNSCHEDULED 5.1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,10,UNSCHEDULED 6.1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,11,WEEK 6,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,12,UNSCHEDULED 7.1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,13,WEEK 8,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,14,UNSCHEDULED 8.2,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,15,WEEK 12,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,16,UNSCHEDULED 9.2,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,17,WEEK 16,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,18,WEEK 20,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,19,WEEK 24,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,20,UNSCHEDULED 12.1,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,21,WEEK 26,,,,Yes,
CL.ADLBCPV.VISIT,Visit (ADLBCPV),,text,,22,UNSCHEDULED 13.1,,,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,1,,SCREENING 1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,1.1,,UNSCHEDULED 1.1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,1.2,,UNSCHEDULED 1.2,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,1.3,,UNSCHEDULED 1.3,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,4,,WEEK 2,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,4.1,,UNSCHEDULED 4.1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,4.2,,UNSCHEDULED 4.2,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,5,,WEEK 4,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,5.1,,UNSCHEDULED 5.1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,6.1,,UNSCHEDULED 6.1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,7,,WEEK 6,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,7.1,,UNSCHEDULED 7.1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,8,,WEEK 8,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,8.2,,UNSCHEDULED 8.2,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,9,,WEEK 12,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,9.2,,UNSCHEDULED 9.2,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,10,,WEEK 16,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,11,,WEEK 20,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,12,,WEEK 24,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,12.1,,UNSCHEDULED 12.1,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,13,,WEEK 26,,Yes,
CL.ADLBCPV.VISITNUM,Visit (N) (ADLBCPV),,float,,,13.1,,UNSCHEDULED 13.1,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,,Baseline,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,2,Week 2,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,4,Week 4,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,6,Week 6,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,8,Week 8,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,12,Week 12,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,16,Week 16,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,20,Week 20,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,24,Week 24,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,26,Week 26,,,,Yes,
CL.ADLBH.AVISIT,Analysis Visit (ADLBH),,text,,99,End of Treatment,,,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,0,,Baseline,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,2,,Week 2,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,4,,Week 4,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,6,,Week 6,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,8,,Week 8,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,12,,Week 12,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,16,,Week 16,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,20,,Week 20,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,24,,Week 24,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,26,,Week 26,,Yes,
CL.ADLBH.AVISITN,Analysis Visit (N) (ADLBH),,integer,,,99,,End of Treatment,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,1,SCREENING 1,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,2,UNSCHEDULED 1.1,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,3,UNSCHEDULED 1.2,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,4,UNSCHEDULED 1.3,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,5,WEEK 2,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,6,UNSCHEDULED 4.1,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,7,WEEK 4,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,8,UNSCHEDULED 5.1,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,9,WEEK 6,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,10,UNSCHEDULED 7.1,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,11,WEEK 8,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,12,UNSCHEDULED 8.2,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,13,WEEK 12,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,14,UNSCHEDULED 9.2,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,15,WEEK 16,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,16,WEEK 20,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,17,WEEK 24,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,18,UNSCHEDULED 12.1,,,,Yes,
CL.ADLBH.VISIT,Visit (ADLBH),,text,,19,WEEK 26,,,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,1,,SCREENING 1,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,1.1,,UNSCHEDULED 1.1,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,1.2,,UNSCHEDULED 1.2,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,1.3,,UNSCHEDULED 1.3,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,4,,WEEK 2,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,4.1,,UNSCHEDULED 4.1,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,5,,WEEK 4,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,5.1,,UNSCHEDULED 5.1,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,7,,WEEK 6,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,7.1,,UNSCHEDULED 7.1,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,8,,WEEK 8,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,8.2,,UNSCHEDULED 8.2,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,9,,WEEK 12,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,9.2,,UNSCHEDULED 9.2,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,10,,WEEK 16,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,11,,WEEK 20,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,12,,WEEK 24,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,12.1,,UNSCHEDULED 12.1,,Yes,
CL.ADLBH.VISITNUM,Visit (N) (ADLBH),,float,,,13,,WEEK 26,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,,Baseline,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,2,Week 2,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,4,Week 4,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,6,Week 6,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,8,Week 8,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,12,Week 12,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,16,Week 16,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,20,Week 20,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,24,Week 24,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,26,Week 26,,,,Yes,
CL.ADLBHPV.AVISIT,Analysis Visit (ADLBHPV),,text,,99,End of Treatment,,,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,0,,Baseline,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,2,,Week 2,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,4,,Week 4,,Yes,
CL.ADLBHPV.AVISITN,Analysis Visit (N) (ADLBHPV),,integer,,,6,,Week 6,,Yes,
